Battletags,Level,Rating,K/D,KDA,Win Pct,Kills/Game,Elim/Game,Damage/Game,Healing/Game,Elim/Min,Healing/Min,Damage/Min,Solo Kills,Obj kills,Final Blows,Damage Done,Elims,Environment Kills,MultiKills,Deaths
fischer-2188,783,"4,457",3.21,4.29,58.4%,27.69,27.69,"10,810.38","2,098.22",2.20,2.78,860.71,254,985,"1,551","1,221,573","3,129",8,55,975
GreenThyme-1155,"1,204","4,362",2.62,6.31,55.6%,21.72,21.72,"5,625.61","8,633.80",1.65,10.91,426.41,96,"1,106",763 ,"748,206","2,889",79,25,"1,102"
Nishik-1477,"1,422","4,456",3.37,9.70,54.8%,21.54,21.54,"7,453.10","9,564.85",1.70,12.61,589.39,158,"2,013","1,528","1,699,307","4,912",7,41,"1,459"
Fofey-11636,"1,196","4,392",4.01,5.07,54.1%,28.61,28.61,"9,693.42",805.18,2.34,1.10,791.19,117,832,"1,021","823,941","2,432 ",9,62,607
nuBKi-11886,781,"4,455",3.95,5.88,58.1%,31.58,31.58,"10,561.35","1,376.94",2.37,1.72,793.80,40,369,387,"327,402",979,26,24,248
Kyb-2630,"1,306","4,455",4.05,5.88,56.7%,25.67,25.67,"9,819.23","2,386.45",2.10,3.25,802.71,354,"1,217","1,904","1,472,885","3,850",17, 53,951
bogur-2537,"1,921","4,451",2.86 ,3.58,56.1%,24.74,24.74,"8,956.62",700.13,1.92,0.91,696.20,177,"2,225","2,391","2,185,416","6,036",84,117,"2,111"
GraceGod-21824,366,"4,453",3.51,4.68,55.7%,26.90,26.90,"10,899.46","1,623.66",2.13, 2.14,863.21,369,"1,062","1,746","1,351,533","3,335",14,43,949
nanohana-3307,284,"4,452",3.57,4.15,56.7%,29.83,29.83,"11,450.80",708.72,2.49,0.98,954.23, 168,595,"1,028","687,048","1,790",3,37,501
Legende-21355,718,"4,471",2.79,4.04,51.7%,23.94,23.94,"8,684.09","2,329.11",1.90,3.08,688.54,148,"1,545","1,660","1,511,031","4,165",40,72,"1,492"
Kaas-21883,803," 4,451",2.66,6.41,55.8%,19.48,19.48,"5,802.98","8,542.23",1.59,11.64,474.56,129,681,816,"696,357","2,338",15,20,879
Rawkus-1108,890,"4,523",2.70,6.58,57.0%,20.83,20.83,"7,684.91","7,233.56",1.72,9.93,633.09,109,914,881,"983,669","2,666",4,36,987
mush2oom-1305,"1,067","4,450",2.61,6.58,62.1%,17.97,17.97,"5,382.29","5,914.24",1.51,8.28,452.30,56,447, 446,"355,231","1,186",2,19,454
